id;reference;amount;date;method;status;gateway;chargily_checkout_url;chargily_transaction_id;bank_name;account_number;transfer_reference_number;reconciled;reconciled_date;reconciled_by;notes;created_by;created_date;last_modified_by;last_modified_date
1;ugh along apud;1362.83;2025-05-15T15:13:02;CREDIT_CARD;PENDING;SQUARE;vibraphone deployment;quiet ew;confound enormously ha;whoa drat;even harmful majestic;false;2025-05-16T00:34:07;alongside following among;enthusiastically smug sheepishly;gadzooks alliance far-off;2025-05-15T17:50:01;reward aw or;2025-05-15T14:26:09
2;long who tough;2270.97;2025-05-15T17:27:49;BANK_DEPOSIT;PENDING;SQUARE;yearly rudely;fall carp before;truly accidentally;and floss;propound deeply knife;false;2025-05-15T22:36:28;costume after lava;buzzing ordinary frenetically;though before;2025-05-16T03:33:57;bend huzzah;2025-05-16T04:12:50
3;coincide;19433.82;2025-05-15T17:47:12;BANK_DEPOSIT;PENDING;SQUARE;gee gee;doorpost um;gee awesome;breed;whose;true;2025-05-16T08:27:55;harp kit incidentally;allegation;pity ack;2025-05-16T03:51:32;numb obnoxiously tuber;2025-05-16T00:43:37
4;or settler accompany;15392.25;2025-05-15T23:29:53;CASH;DECLINED;SQUARE;seriously;oof seriously unlined;nor;procurement behold;scarcely so waver;true;2025-05-16T08:20:24;inscribe;meal;till;2025-05-16T09:16:31;pupil provided wherever;2025-05-15T23:44:15
5;boohoo pale;18068.27;2025-05-15T20:56:32;CREDIT_CARD;PARTIALLY_REFUNDED;STRIPE;aw why;ectoderm;unto ah;detain deployment grass;sour;true;2025-05-15T17:20:35;suspiciously;mysteriously;boohoo psst abaft;2025-05-16T02:02:06;zowie ill;2025-05-15T19:24:05
6;out degenerate;9673.16;2025-05-15T22:40:32;CHECK;REFUNDED;SQUARE;purse unexpectedly scaffold;oh amidst chasuble;squid owlishly;hornet;judicious whoever because;false;2025-05-16T04:22:40;while huzzah;before treasure;hoarse acquaintance;2025-05-16T01:01:38;plus failing inborn;2025-05-16T02:17:41
7;excess;1871.41;2025-05-15T15:36:53;ONLINE_TRANSFER;PENDING;PAYPAL;which enchanting who;coolly scuttle mid;aha oxidize;nimble transplant;probe;false;2025-05-16T02:41:53;down;gee deployment;grubby;2025-05-16T02:55:53;blossom;2025-05-16T05:26:26
8;swing as label;17875.98;2025-05-15T09:34:22;BANK_DEPOSIT;PENDING;PAYPAL;team;if minor how;scarper;once regarding;underneath;false;2025-05-15T09:56:04;what reopen;juicy;wherever darn pointed;2025-05-15T16:04:28;soulful fast;2025-05-15T15:26:26
9;boom amend ack;19052.37;2025-05-16T01:33:39;ONLINE_TRANSFER;DECLINED;MANUAL;busily;boo;ultimately;within in stitcher;scarily;false;2025-05-15T17:11:52;dreamily unfreeze gosh;shoulder bossy stool;but inspect aha;2025-05-16T02:14:33;exhausted;2025-05-15T23:42:23
10;unless;4924.92;2025-05-15T23:22:59;CASH;REFUNDED;MANUAL;pleasant;uh-huh;until utilization;drat glisten issue;intrepid energetically joy;false;2025-05-15T12:13:12;what;impact gadzooks;instead another psst;2025-05-15T17:38:39;innocently;2025-05-15T10:19:55
