id;first_name;last_name;phone;fax;tax_id;registration_article;statistical_id;rc;created_by;created_date;last_modified_by;last_modified_date
1;Chris;Borer;752-994-9393 x93869;times idle besmirch;lonely or;empty tame;likewise considering disposer;yowza inside worriedly;hence;2025-05-16T05:29:22;pro meanwhile and;2025-05-16T07:15:51
2;Claudine;Huels;(868) 329-7245 x966;above swanling;of;cantaloupe;out boo;zowie;enchanted;2025-05-16T02:41:15;humiliating until yuck;2025-05-16T02:44:44
3;Melissa;Mraz;718-333-2989 x795;despite yippee conceptualize;now yum;nicely legging;as;guest accessorise;why;2025-05-16T08:43:02;misreport chapel;2025-05-16T08:53:11
4;Shana;Franecki;1-366-740-3648;lest whoa settle;ice-cream flashy;plus for;rim baritone;alliance;repeat scarification;2025-05-16T05:12:25;giant adumbrate;2025-05-15T15:42:15
5;Domenick;DuBuque;943-662-7534 x001;reorganisation omelet inveigle;provision institute highlight;quick-witted uh-huh;quart brood violin;trivial;by tiny;2025-05-15T09:38:53;yum wrathful spark;2025-05-16T03:40:40
6;Trystan;Kilback;1-503-873-8912 x07898;devise;after wafer;obligation;designation;vol;concerning;2025-05-15T12:04:31;concrete;2025-05-16T05:27:42
7;Alphonso;Schuppe;(909) 654-4682;infamous;provided finally;once;once cleverly subexpression;naughty;speedily;2025-05-15T19:40:56;past;2025-05-15T12:22:32
8;Rosamond;Carter;342-623-6633;hexagon;ocelot;rationale strong;detective though greatly;fortunate upwardly dearly;behind;2025-05-16T05:59:31;drive priesthood;2025-05-15T21:30:32
9;Emerald;Goldner;540.460.2671 x54757;mockingly below viciously;league hoof obnoxiously;weekly;meh;daddy popularity coin;bran helplessly defrag;2025-05-15T11:13:58;atop ha;2025-05-16T03:31:35
10;Price;Ernser;1-367-982-6300;carefully;versus why;jovially;unlucky;boohoo;loosely yum;2025-05-16T01:18:59;cheerful;2025-05-15T23:02:12
